movie_id,real_budget,real_revenue,real_profit,is_profitable,is_sequel,is_blockbuster_season,runtime,star,director,writer,rating,country,vote_count,score,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,theme_agent,theme_american,theme_brother,theme_car,theme_city,theme_daughter,theme_death,theme_director,theme_drug,theme_family,theme_father,theme_finds,theme_friend,theme_friends,theme_help,theme_high,theme_love,theme_mother,theme_murder,theme_old,theme_police,theme_relationship,theme_school,theme_secret,theme_son,theme_town,theme_true,theme_war,theme_wife,theme_years
2012,292494172.4941725,1157133016.3925407,864638843.8983681,1,0,0,158.0,John Cusack,Roland Emmerich,Roland Emmerich,PG-13,United States,12593.0,5.869,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,19928004.235044997,33555034.255690835,13627030.020645838,1,0,0,129.0,Tony Chiu-Wai Leung,Kar-Wai Wong,Kar-Wai Wong,R,Hong Kong,1049.0,7.234,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0
20th century women,8959200.32639739,9234127.467156263,274927.1407588739,1,0,0,119.0,Annette Bening,Mike Mills,Mike Mills,R,United States,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,50996284.25452856,232846658.93636784,181850374.6818393,1,0,0,123.0,Jim Sturgess,Robert Luketic,Peter Steinfeld,PG-13,United States,4966.0,6.691,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
21 & over,17502575.10729614,64713310.327897,47210735.22060086,1,0,0,93.0,Miles Teller,Jon Lucas,Jon Lucas,R,United States,4966.0,6.691,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21 grams,33213340.39174166,100350519.29221809,67137178.90047643,1,0,0,124.0,Sean Penn,Alejandro G. Iñárritu,Guillermo Arriaga,R,United States,3339.0,7.321,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21 jump street,57384146.34146341,277100431.08580136,219716284.74433795,1,0,0,109.0,Jonah Hill,Phil Lord,Michael Bacall,R,United States,6527.0,6.884,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,4,0,0,0,0,0,0,0
22 jump street,66265314.74440219,439118871.5724546,372853556.8280524,1,0,1,112.0,Channing Tatum,Phil Lord,Michael Bacall,R,United States,5167.0,6.827,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0
25th hour,8524456.52173913,40801552.464673914,32277095.94293478,1,0,0,135.0,Edward Norton,Spike Lee,David Benioff,R,United States,2532.0,7.32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27 dresses,43711100.78959591,236994814.71760333,193283713.92800742,1,0,0,111.0,Katherine Heigl,Anne Fletcher,Aline Brosh McKenna,PG-13,United States,3343.0,6.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
