movie_id,real_budget,real_revenue,real_profit,is_profitable,ROI,log_real_revenue,is_sequel,is_major_studio,is_blockbuster_season,is_weekend_release,released_year,released_date,runtime,director,star,writer,director_win_rate,star_win_rate,writer_win_rate,production_win_rate,rating_win_rate,rating,country,vote_count,score,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,theme_agent,theme_american,theme_brother,theme_car,theme_city,theme_daughter,theme_death,theme_director,theme_drug,theme_family,theme_father,theme_finds,theme_friend,theme_friends,theme_help,theme_high,theme_love,theme_mother,theme_murder,theme_old,theme_police,theme_relationship,theme_school,theme_secret,theme_son,theme_town,theme_true,theme_war,theme_wife,theme_years
lucy,53012251.79552175,606337935.4930291,553325683.6975074,1,10.437694400000002,20.222948039582658,0,0,1,1,2014,"July 25, 2014 (United States)",89.0,Luc Besson,Scarlett Johansson,Luc Besson,0.8333333333333334,0.8,1.0,0.8333333333333334,0.6257332811888933,R,France,10019.0,6.472,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lust in the dust,8746282.527881041,2121378.757434944,-6624903.7704460975,0,-0.7574536666666667,14.56757726392961,0,0,0,0,1985,"March 1, 1985 (United States)",84.0,Paul Bartel,Tab Hunter,Philip John Taylor,0.0,0.0,0.0,0.0,0.6257332811888933,R,United States,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lust, caution",22698986.97539797,101527900.31596719,78828913.34056921,1,3.4727943333333333,18.435844208483317,0,0,0,0,2007,"October 26, 2007 (United States)",157.0,Ang Lee,Tony Chiu-Wai Leung,Eileen Chang,0.7272727272727273,1.0,1.0,1.0,0.5833333333333334,NC-17,Taiwan,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luther,51146739.13043478,50520505.276086956,-626233.854347825,0,-0.012243866666666646,17.737889876696567,0,0,0,0,2003,"September 26, 2003 (United States)",123.0,Eric Till,Joseph Fiennes,Camille Thomasson,0.0,0.5,0.0,0.0,0.7330583382439599,PG-13,Germany,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ma,6134141.572154868,74966256.91357058,68832115.34141572,1,11.2211488,18.132548675781972,0,0,0,0,2019,"May 31, 2019 (United States)",99.0,Tate Taylor,Octavia Spencer,Scotty Landes,1.0,1.0,1.0,1.0,0.6257332811888933,R,Japan,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mac and me,34472527.472527474,17035029.031276416,-17437498.441251058,0,-0.5058375384615384,16.650782371991788,0,0,0,0,1988,"August 12, 1988 (United States)",99.0,Stewart Raffill,Christine Ebersole,Stewart Raffill,0.25,0.0,0.6666666666666666,0.0,0.7196885428253615,PG,United States,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
macbeth,19854430.379746836,21604356.193670888,1749925.8139240518,1,0.08813780000000006,16.88840557424047,0,0,0,0,2015,"December 11, 2015 (United States)",113.0,Justin Kurzel,Michael Fassbender,Todd Louiso,0.6666666666666666,0.8888888888888888,1.0,1.0,0.6257332811888933,R,United Kingdom,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
macgruber,14383310.408069693,12412645.85740486,-1970664.5506648328,0,-0.1370105,16.33422641867785,0,0,1,1,2010,"May 21, 2010 (United States)",90.0,Jorma Taccone,Will Forte,Will Forte,0.0,0.0,0.0,0.5,0.6257332811888933,R,United States,270.0,5.414,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
machete,17979138.010087114,66696805.54332874,48717667.53324163,1,2.7096776,18.015667631828556,0,0,0,1,2010,"September 3, 2010 (United States)",105.0,Ethan Maniquis,Danny Trejo,Robert Rodriguez,1.0,0.5,0.8181818181818182,1.0,0.6257332811888933,R,United States,1862.0,6.338,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
machete kills,26927038.626609445,24601900.9583691,-2325137.668240346,0,-0.0863495500000001,17.01833431329477,0,0,0,1,2013,"October 11, 2013 (United States)",107.0,Robert Rodriguez,Danny Trejo,Kyle Ward,0.8461538461538461,0.5,0.0,0.0,0.6257332811888933,R,United States,1079.0,5.624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
machine gun preacher,41845264.562027566,5191585.751889729,-36653678.81013784,0,-0.8759337333333334,15.462549940956775,0,0,0,1,2011,"November 2, 2011 (United Kingdom)",129.0,Marc Forster,Gerard Butler,Jason Keller,0.7,0.6428571428571429,0.0,0.875,0.6257332811888933,R,United States,477.0,6.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
mad dog and glory,41247750.865051895,24057394.658823527,-17190356.206228368,0,-0.4167586315789473,16.995953019045377,0,1,0,0,1993,"March 5, 1993 (United States)",97.0,John McNaughton,Robert De Niro,Richard Price,0.6666666666666666,0.5,0.2,0.7804878048780488,0.6257332811888933,R,United States,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mad dog time,15994901.210962394,215679.24665391966,-15779221.964308474,0,-0.98651575,12.281552250315958,0,0,0,0,1996,"November 8, 1996 (United States)",93.0,Larry Bishop,Michael J. Pollard,Larry Bishop,0.0,0.0,0.0,0.0,0.6257332811888933,R,United States,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mad max 2,9752331.606217617,76940594.35544042,67188262.7492228,1,6.889456333333333,18.15854419317687,1,0,0,0,1982,"May 21, 1982 (United States)",96.0,George Miller,Mel Gibson,Terry Hayes,0.7,0.8,0.6666666666666666,0.5,0.6257332811888933,R,Australia,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mad max beyond thunderdome,29154275.092936803,105626577.14033458,76472302.04739778,1,2.6230219000000004,18.475420584503578,1,0,0,0,1985,"July 10, 1985 (United States)",107.0,George Miller,Mel Gibson,Terry Hayes,0.7,0.8,0.6666666666666666,0.5,0.7330583382439599,PG-13,Australia,3206.0,6.217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mad max: fury road,198544303.79746836,489872358.11814344,291328054.3206751,1,1.467320133333333,20.009655423539492,0,1,1,1,2015,"May 15, 2015 (United States)",120.0,George Miller,Tom Hardy,George Miller,0.7,0.75,0.6,0.7728813559322034,0.6257332811888933,R,Australia,14454.0,7.631,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
